country,year,inflation,openness,investment,gdp_growth
BFA,2003,,30.3682364077323,15.4592813585183,7.80249388870359
BFA,2004,,35.4809436017462,15.5181038099984,4.47845213670386
BFA,2005,,34.1721697681049,17.5635935306702,8.66187322841225
BFA,2006,,35.1065423554549,16.1250056320714,6.25316468817478
BFA,2007,,33.7797172895073,18.2510847811436,4.11137901761516
BFA,2008,,35.3853169801502,20.7319624459801,5.79999174105387
BFA,2009,,40.2959836735924,19.9900322638267,2.96195085866692
BFA,2010,,49.0732385398039,21.9904340000138,8.44628157707625
BFA,2011,2.75976724854531,57.4972531038508,22.1235118043343,6.62256261306693
BFA,2012,3.81815240252386,61.2386079818398,24.6529928973207,6.45267237953146
BFA,2013,0.533738507090531,64.0358513024234,23.7099150061433,5.79258484509867
